CloudServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,CloudServiceProvider,StorageSize
2001,Cloud Hosting,2023-01-01,2023-01-14,5000.00,Completed,Istanbul,Marmara,Turkey,Cloud,Amazon AWS,500GB
2002,Cloud Backup Services,2023-02-01,2023-02-13,4500.00,Completed,Izmir,Izmir,Turkey,Cloud,Google Cloud,300GB
2003,Cloud Storage,2023-03-01,2023-03-14,3500.00,Completed,Ankara,Ankara,Turkey,Cloud,Microsoft Azure,1TB
2004,Cloud Application Hosting,2023-04-01,2023-04-13,4000.00,Completed,Istanbul,Marmara,Turkey,Cloud,IBM Cloud,700GB
2005,Cloud Security Solutions,2023-05-01,2023-05-14,5000.00,Completed,Izmir,Izmir,Turkey,Cloud,Amazon AWS,1.5TB
2006,Private Cloud Solutions,2023-06-01,2023-06-14,4500.00,Completed,Ankara,Ankara,Turkey,Cloud,Microsoft Azure,2TB
2007,Cloud Platform Development,2023-07-01,2023-07-14,6000.00,Completed,Istanbul,Marmara,Turkey,Cloud,Google Cloud,800GB
2008,Disaster Recovery Cloud,2023-08-01,2023-08-14,5000.00,Completed,Izmir,Izmir,Turkey,Cloud,Amazon AWS,600GB
2009,Cloud Data Analytics,2023-09-01,2023-09-14,5500.00,Completed,Ankara,Ankara,Turkey,Cloud,IBM Cloud,1TB
2010,Cloud DevOps Services,2023-10-01,2023-10-14,4500.00,Completed,Istanbul,Marmara,Turkey,Cloud,Google Cloud,1TB
2011,Cloud Migration Solutions,2023-11-01,2023-11-14,5000.00,Completed,Izmir,Izmir,Turkey,Cloud,Microsoft Azure,900GB
2012,Cloud API Integration,2023-12-01,2023-12-14,4000.00,Completed,Ankara,Ankara,Turkey,Cloud,Amazon AWS,650GB
2013,Hybrid Cloud Solutions,2023-01-15,2023-01-29,4500.00,Completed,Istanbul,Marmara,Turkey,Cloud,IBM Cloud,1.2TB
2014,Cloud Infrastructure Management,2023-02-15,2023-02-28,5000.00,Completed,Izmir,Izmir,Turkey,Cloud,Microsoft Azure,1TB
2015,Multi-Cloud Solutions,2023-03-15,2023-03-28,5500.00,Completed,Ankara,Ankara,Turkey,Cloud,Google Cloud,800GB
2016,Cloud Computing Solutions,2023-04-15,2023-04-28,6000.00,Active,Istanbul,Marmara,Turkey,Cloud,Amazon AWS,2TB
2017,Cloud Database Solutions,2023-05-15,2023-05-28,4500.00,Completed,Izmir,Izmir,Turkey,Cloud,Microsoft Azure,1.3TB
2018,Cloud Storage for Enterprises,2023-06-15,2023-06-28,4000.00,Completed,Ankara,Ankara,Turkey,Cloud,Google Cloud,1.1TB
2019,Cloud-Based Business Solutions,2023-07-15,2023-07-28,5000.00,Active,Istanbul,Marmara,Turkey,Cloud,IBM Cloud,1.6TB
2020,Cloud Disaster Recovery,2023-08-15,2023-08-28,6000.00,Completed,Izmir,Izmir,Turkey,Cloud,Amazon AWS,2TB
2021,Cloud SaaS Solutions,2023-09-15,2023-09-28,5500.00,Active,Ankara,Ankara,Turkey,Cloud,Microsoft Azure,1.8TB
2022,Cloud Virtualization,2023-10-15,2023-10-28,4500.00,Completed,Istanbul,Marmara,Turkey,Cloud,Google Cloud,1.5TB
2023,Cloud Data Storage,2023-11-15,2023-11-28,5000.00,Completed,Izmir,Izmir,Turkey,Cloud,Amazon AWS,750GB
2024,Cloud Software Solutions,2023-12-15,2023-12-28,5500.00,Active,Ankara,Ankara,Turkey,Cloud,IBM Cloud,1TB
2025,Cloud Application Management,2023-01-01,2023-01-14,5000.00,Completed,Istanbul,Marmara,Turkey,Cloud,Google Cloud,1.2TB
2026,Cloud Automation Services,2023-02-01,2023-02-14,4500.00,Completed,Izmir,Izmir,Turkey,Cloud,Amazon AWS,1.3TB
2027,Cloud Hosting with Security,2023-03-01,2023-03-14,5500.00,Completed,Ankara,Ankara,Turkey,Cloud,Microsoft Azure,1TB
2028,Cloud Integration Solutions,2023-04-01,2023-04-14,4000.00,Completed,Istanbul,Marmara,Turkey,Cloud,IBM Cloud,2TB
2029,Cloud Security & Compliance,2023-05-01,2023-05-14,6000.00,Completed,Izmir,Izmir,Turkey,Cloud,Google Cloud,1.4TB
2030,Private Cloud Storage,2023-06-01,2023-06-14,5000.00,Active,Ankara,Ankara,Turkey,Cloud,Amazon AWS,900GB