NetworkServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,BandwidthUsage,NetworkType,NetworkProvider
5001,Enterprise Network Setup,2023-01-01,2023-01-15,2000.00,Completed,Istanbul,Marmara,Turkey,Network Management,500GB,Fiber Optic,Turk Telekom
5002,Local Area Network (LAN) Setup,2023-02-01,2023-02-05,800.00,Completed,Izmir,Izmir,Turkey,Network Management,100GB,Wi-Fi,Superonline
5003,Wide Area Network (WAN) Management,2023-03-01,2023-03-20,1500.00,Completed,Ankara,Ankara,Turkey,Network Management,300GB,Wi-Fi,TTNET
5004,Corporate VPN Configuration,2023-04-01,2023-04-10,1000.00,Completed,Istanbul,Marmara,Turkey,Network Management,150GB,Fiber Optic,Turkcell
5005,Network Performance Monitoring,2023-05-01,2023-05-10,600.00,Completed,Izmir,Izmir,Turkey,Network Management,200GB,Wi-Fi,Vodafone
5006,Wi-Fi Network Expansion,2023-06-01,2023-06-07,500.00,Completed,Ankara,Ankara,Turkey,Network Management,100GB,Wi-Fi,Turk Telekom
5007,Internet Backbone Setup,2023-07-01,2023-07-15,3000.00,Completed,Istanbul,Marmara,Turkey,Network Management,500GB,Fiber Optic,Superonline
5008,Cloud Network Management,2023-08-01,2023-08-10,1200.00,Completed,Izmir,Izmir,Turkey,Network Management,200GB,Fiber Optic,Turkcell
5009,Data Center Network Setup,2023-09-01,2023-09-10,2500.00,Completed,Ankara,Ankara,Turkey,Network Management,600GB,Wi-Fi,TTNET
5010,Network Load Balancing,2023-10-01,2023-10-10,1500.00,Completed,Istanbul,Marmara,Turkey,Network Management,250GB,Fiber Optic,Vodafone
5011,Corporate Wi-Fi System Installation,2023-11-01,2023-11-07,700.00,Completed,Izmir,Izmir,Turkey,Network Management,80GB,Wi-Fi,Superonline
5012,Remote Network Support,2023-12-01,2023-12-10,500.00,Completed,Ankara,Ankara,Turkey,Network Management,100GB,Fiber Optic,Turk Telekom
5013,Network Security Configuration,2023-01-02,2023-01-10,1100.00,Completed,Istanbul,Marmara,Turkey,Network Management,150GB,Wi-Fi,Turkcell
5014,Enterprise Wireless Network,2023-02-02,2023-02-08,1200.00,Completed,Izmir,Izmir,Turkey,Network Management,200GB,Fiber Optic,Vodafone
5015,4G LTE Network Management,2023-03-02,2023-03-12,800.00,Completed,Ankara,Ankara,Turkey,Network Management,150GB,4G LTE,TTNET
5016,Managed Router Installation,2023-04-02,2023-04-06,650.00,Completed,Istanbul,Marmara,Turkey,Network Management,80GB,Wi-Fi,Superonline
5017,Network Disaster Recovery,2023-05-02,2023-05-08,2000.00,Completed,Izmir,Izmir,Turkey,Network Management,300GB,Fiber Optic,Turk Telekom
5018,LAN-to-WAN Integration,2023-06-02,2023-06-08,900.00,Completed,Ankara,Ankara,Turkey,Network Management,150GB,Wi-Fi,TTNET
5019,Video Conferencing Network,2023-07-02,2023-07-08,700.00,Completed,Istanbul,Marmara,Turkey,Network Management,50GB,Fiber Optic,Turkcell
5020,Private Network Installation,2023-08-02,2023-08-09,2500.00,Completed,Izmir,Izmir,Turkey,Network Management,400GB,Wi-Fi,Vodafone
5021,Office Network Optimization,2023-09-02,2023-09-08,800.00,Completed,Ankara,Ankara,Turkey,Network Management,100GB,Fiber Optic,Superonline
5022,Mobile Network Support,2023-10-02,2023-10-06,500.00,Completed,Istanbul,Marmara,Turkey,Network Management,60GB,4G LTE,Turk Telekom
5023,High-Speed Network Setup,2023-11-02,2023-11-08,1200.00,Completed,Izmir,Izmir,Turkey,Network Management,200GB,Fiber Optic,TTNET
5024,Wireless LAN Expansion,2023-12-02,2023-12-08,850.00,Completed,Ankara,Ankara,Turkey,Network Management,150GB,Wi-Fi,Turkcell
5025,Cloud Network Security,2023-01-03,2023-01-07,1100.00,Completed,Istanbul,Marmara,Turkey,Network Management,200GB,Fiber Optic,Superonline